aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
5,741,0,26.39,61.51,17.17,55.39,63.75,13.55
5,854.49,0,30.16,45.78,16.45,78.14,90.96,16.09
5,754.36,0,25.7,65.09,15.97,86.03,95.15,13.55
5,741,0,22.28,78.68,19.07,93.19,102.78,12.41
5,654.22,0,9.08,114.44,13.59,105.51,111.93,8.61
4,500.68,0,8.05,110.15,13.83,49.99,54.54,8.74
4,480.65,0,11.82,68.66,11.09,28.96,35.52,11.91
5,934.6,0.02,27.76,34.33,17.64,75.84,94.29,18.49
5,1895.9,13.19,56.21,0.35,19.07,146.89,176.52,24.57
5,3124.24,39.79,84.31,0,23.13,208.95,242.71,29.39
5,1789.09,7.04,65.8,0.98,18.6,128.55,159.5,11.91
5,1441.96,11.51,55.52,0.47,15.26,100.48,134.15,6.52
5,2109.53,16.54,59.63,0.12,16.93,186.58,238.32,15.2
5,1602.17,2.18,52.78,5.14,17.4,172.19,210.87,19
5,1321.79,0.04,37.7,25.39,18.12,164.7,196.92,17.73
5,807.76,0.01,22.28,35.76,12.52,52.26,63.73,6.33
4,614.17,0,11.82,80.11,10.73,41.54,47.82,10.13
4,453.95,0,9.25,80.11,10.85,45.7,50.55,8.04
4,520.71,0,10.45,68.66,10.61,42.05,48.01,9.12
5,814.44,0.01,18.34,31.47,8.7,92.2,106.72,6.59
5,754.36,0,15.77,47.92,9.66,103.5,115.67,9.88
5,974.66,0,23.31,38.62,12.76,105.05,123.61,11.27
5,1455.31,0.43,40.78,14.84,17.64,131.77,159.91,16.97
4,660.9,0,23.99,45.06,18.84,41.78,46.99,4.94
5,3257.75,76,50.04,0,33.38,240.45,287.95,16.21
5,2990.72,58.11,29.82,0,25.99,177.74,194.29,11.65
4,841.14,0.01,26.73,33.62,9.89,47.83,54.75,9.37
4,707.63,0.01,25.7,36.84,11.32,30.44,36.97,12.79
4,727.65,0,18.51,47.92,11.21,38.66,50.43,14.31
4,794.41,0,25.7,42.92,14.78,45.47,55.96,14.19
5,1174.93,1.22,38.73,9.92,12.99,79.1,101.48,15.71
5,834.47,0,27.08,40.41,12.52,51.48,66.61,16.21
5,947.95,0.01,29.82,37.19,13.35,78.99,95.99,16.72
5,574.11,0,12.17,67.95,10.37,55.73,63.89,12.29
5,667.57,0,14.74,51.5,9.3,71.22,81.6,13.55
5,1401.9,0.18,45.93,16.99,15.97,126.59,148.74,13.55
5,1922.61,9.16,60.32,0.66,19.55,169.21,192.39,13.93
5,6301.88,110.86,122.01,0,123.98,595.31,648.62,105.38
